company,region,industry,company_size
Apex Solutions,Germany,Finance and Banking,100
Bright Future Enterprises,Brazil,Business Intelligence,500
Summit Innovations,China,Retail and E-commerce,500
Quantum Tech,United States,Energy and Utilities,500
Stellar Networks,Japan,Finance and Banking,10000
Infinite Horizons,Brazil,Marketing and Advertising,1000
Nexus Industries,Germany,Transportation and Logistics,10000
Titan Corp,Canada,Manufacturing,1000
Skybound Ventures,India,Marketing and Advertising,50000
Horizon Dynamics,Australia,Energy and Utilities,10000
Pinnacle Systems,Brazil,Business Intelligence,10000
Velocity Ventures,India,Marketing and Advertising,50
Global Edge Solutions,Germany,Energy and Utilities,50000
Blue Wave Technologies,Brazil,Healthcare,10000
Stratosphere Enterprises,Australia,Telecommunications,100000
Alpha Omega Co.,Japan,Healthcare,500
Radiant Ventures,United States,Telecommunications,50
NextGen Solutions,Germany,Marketing and Advertising,50000
Fusion Enterprises,Australia,Retail and E-commerce,50
OmniTech Industries,United Kingdom,Business Intelligence,100000
Vertex Innovations,Japan,Finance and Banking,100000
SolarFlare Tech,United Kingdom,Manufacturing,50000
Cascade Dynamics,Brazil,Manufacturing,100000
Visionary Ventures,United Kingdom,Marketing and Advertising,1000
Zenith Enterprises,Canada,Transportation and Logistics,100
